experiment_id,dataset_size,extreme_value_ratio,repetition,final_bias,training_iterations,convergence_status,execution_time,dataset_mean,extreme_value_count,iqr_threshold,statistical_validation_passed,final_weight_0,training_final_loss,training_final_mae,training_initial_loss,training_loss_improvement,training_initial_weight,training_final_weight,training_weight_change,training_weight_std
exp_10_100_06,10,1.0,6,0.4997203052043915,50,converged,2.969836473464966,5.0,5,12.68476938177892,True,2.057882785797119,0.10872989892959595,0.2516290843486786,186.81216430664062,186.70343440771103,1.851553201675415,2.057882785797119,0.2063295841217041,0.03177079185843468
exp_10_100_07,10,1.0,7,0.5084254145622253,50,converged,3.0131163597106934,5.0,5,12.70740140520558,True,2.057049036026001,0.10454022884368896,0.24724224209785461,208.7532958984375,208.6487556695938,1.8305937051773071,2.057049036026001,0.22645533084869385,0.034440044313669205
exp_10_100_08,10,1.0,8,0.5110969543457031,50,converged,2.918694496154785,4.9899354503695195,5,13.651006318319428,True,2.0534162521362305,0.11203918606042862,0.24777336418628693,205.8422088623047,205.73016967624426,1.9447005987167358,2.0534162521362305,0.10871565341949463,0.019009742885828018
exp_10_100_09,10,1.0,9,0.5122328996658325,50,converged,3.039721965789795,4.999999999999998,5,13.769625913826285,True,2.053302526473999,0.11121837049722672,0.24736197292804718,211.0887908935547,210.97757252305746,1.9462970495224,2.053302526473999,0.10700547695159912,0.0187697671353817
exp_10_100_10,10,1.0,10,0.5076935887336731,50,converged,2.95143723487854,4.999999999999999,5,13.602730046129828,True,2.054462194442749,0.1116165742278099,0.24916735291481018,200.2576446533203,200.1460280790925,1.9272620677947998,2.054462194442749,0.12720012664794922,0.021332373842597008
exp_50_00_01,50,0.0,1,0.5237061977386475,50,converged,3.0132627487182617,4.999999999999999,6,5.021349584959251,True,2.0806612968444824,0.035103920847177505,0.1612367182970047,96.71267700195312,96.67757308110595,1.7879688739776611,2.0806612968444824,0.2926924228668213,0.04343816637992859
exp_50_00_02,50,0.0,2,0.55026775598526,50,converged,3.0895450115203857,5.000000000000001,8,7.01730355237516,True,2.074150562286377,0.03714384883642197,0.1633685678243637,98.60624694824219,98.56910309940577,1.8052783012390137,2.074150562286377,0.2688722610473633,0.040803439915180206
exp_50_00_03,50,0.0,3,0.5241124033927917,50,converged,3.195183038711548,5.000000000000001,6,6.012979941909581,True,2.07899808883667,0.03964158520102501,0.1695740818977356,93.13319396972656,93.09355238452554,1.8234965801239014,2.07899808883667,0.25550150871276855,0.038488615304231644
exp_50_00_04,50,0.0,4,0.520722508430481,50,converged,3.1408514976501465,5.000000000000001,7,5.112621945524769,True,2.0764670372009277,0.03870488703250885,0.15660829842090607,93.26183319091797,93.22312830388546,1.8671107292175293,2.0764670372009277,0.20935630798339844,0.031667474657297134
exp_50_00_05,50,0.0,5,0.5487351417541504,50,converged,3.116870164871216,4.999999999999999,8,6.205940186052545,True,2.0700912475585938,0.03828343003988266,0.16441971063613892,96.49441528320312,96.45613185316324,1.8562946319580078,2.0700912475585938,0.21379661560058594,0.032794289290905
exp_50_00_06,50,0.0,6,0.5526881217956543,50,converged,3.082746982574463,5.000000000000001,10,6.676588643890077,True,2.076023578643799,0.039609163999557495,0.16696760058403015,112.70618438720703,112.66657522320747,1.7941358089447021,2.076023578643799,0.2818877696990967,0.0425693579018116
exp_50_00_07,50,0.0,7,0.545657217502594,50,converged,3.1526026725769043,5.000000000000001,6,5.111336178704746,True,2.079014778137207,0.04121432453393936,0.17567339539527893,110.41360473632812,110.37239041179419,1.7976441383361816,2.079014778137207,0.2813706398010254,0.0426526740193367
exp_50_00_08,50,0.0,8,0.536754846572876,50,converged,3.0378429889678955,4.999999999999999,6,6.4941785895406,True,2.075410842895508,0.04109551012516022,0.17434844374656677,97.8252182006836,97.78412269055843,1.8382710218429565,2.075410842895508,0.23713982105255127,0.036102138459682465
exp_50_00_09,50,0.0,9,0.5475112199783325,50,converged,2.9826529026031494,5.000000000000001,7,5.546271079583217,True,2.0728414058685303,0.03890281543135643,0.15808413922786713,93.36177825927734,93.32287544384599,1.8292346000671387,2.0728414058685303,0.2436068058013916,0.03732634335756302
exp_50_00_10,50,0.0,10,0.5383660197257996,50,converged,3.0622520446777344,5.0,7,5.579601611196589,True,2.0746209621429443,0.04136945307254791,0.16925595700740814,94.54705047607422,94.50568102300167,1.8431339263916016,2.0746209621429443,0.23148703575134277,0.03547888621687889
exp_50_25_01,50,0.25,1,0.6154076457023621,50,converged,3.1323955059051514,4.999999999999999,14,9.262193565188754,True,2.0543503761291504,0.04243208095431328,0.16384319961071014,110.45399475097656,110.41156267002225,1.9137681722640991,2.0543503761291504,0.14058220386505127,0.025017263367772102
exp_50_25_02,50,0.25,2,0.5989699959754944,50,converged,3.468383550643921,4.999999999999999,10,7.854178541676099,True,2.0609936714172363,0.04220343753695488,0.16924329102039337,106.32061767578125,106.2784142382443,1.8889826536178589,2.0609936714172363,0.17201101779937744,0.029243256896734238
exp_50_25_03,50,0.25,3,0.561790943145752,50,converged,3.194640874862671,5.0,8,6.152663936820348,True,2.067338705062866,0.04581248760223389,0.17409290373325348,103.05242919921875,103.00661671161652,1.8973278999328613,2.067338705062866,0.17001080513000488,0.027623657137155533
exp_50_25_04,50,0.25,4,0.5803436040878296,50,converged,3.0260157585144043,5.000000000000002,11,6.654629199015276,True,2.0637965202331543,0.04411106929183006,0.16911090910434723,103.47335052490234,103.42923945561051,1.8841074705123901,2.0637965202331543,0.17968904972076416,0.029499990865588188
exp_50_25_05,50,0.25,5,0.5662861466407776,50,converged,2.96086049079895,5.000000000000001,10,5.1013335500507,True,2.0642049312591553,0.04239248111844063,0.16478094458580017,98.54955291748047,98.50716043636203,1.9074757099151611,2.0642049312591553,0.15672922134399414,0.025607679039239883
exp_50_25_06,50,0.25,6,0.5711091160774231,50,converged,3.2820444107055664,5.0,7,6.6502836611073235,True,2.067593574523926,0.044552162289619446,0.1811791956424713,105.01953887939453,104.97498671710491,1.866806983947754,2.067593574523926,0.20078659057617188,0.0322241447865963
exp_50_25_07,50,0.25,7,0.609390139579773,50,converged,3.1719133853912354,4.99498506030237,13,9.109875533774769,True,2.0537919998168945,0.04464003071188927,0.17646078765392303,105.9135513305664,105.86891129985452,1.945411205291748,2.0537919998168945,0.10838079452514648,0.020828142762184143
exp_50_25_08,50,0.25,8,0.594237744808197,50,converged,3.040031909942627,5.000000000000001,11,8.105883448747791,True,2.057058334350586,0.04500894621014595,0.17839618027210236,103.46643829345703,103.42142934724689,1.9438865184783936,2.057058334350586,0.11317181587219238,0.02095196768641472
exp_50_25_09,50,0.25,9,0.6072178483009338,50,converged,2.9615800380706787,4.998104240220092,11,8.020962232428179,True,2.0569589138031006,0.043248146772384644,0.17769938707351685,120.1854476928711,120.14219954609871,1.908268928527832,2.0569589138031006,0.14868998527526855,0.02558840624988079
exp_50_25_10,50,0.25,10,0.5885021090507507,50,converged,3.223358154296875,4.999999999999999,10,6.624596660244751,True,2.061830759048462,0.040725480765104294,0.1623346209526062,102.82435607910156,102.78363059833646,1.868614912033081,2.061830759048462,0.19321584701538086,0.031234227120876312
